movie,directors,stars,year,runtime,genres
Jackrabbit,Carleton Ranney,"Ryan Dailey, Alexander Hodgins, Boots Wooten, Cinda Donovan",2015,100 min,"Drama, Sci-Fi, Thriller"
Bad Blood: The Movie,Tim Reis,"Mary Malloy, Vikas Adam, Troy Halverson, Brian Troxell",2016,80 min,"Fantasy, Horror, Sci-Fi"
Woundings,Roberta Hanley,"Julie Cox, Sammi Davis, Emily Lloyd, Charlie Creed-Miles",1998,102 min,"Drama, Sci-Fi"
Atlantis Down,Max Bartoli,"Silvia Baldassini, Eric Baskerville, Doug Burch, Virginia Conti",2010,95 min,"Action, Sci-Fi"
Insectula!,Michael Peterson,"Pascal Pialo, Arielle Cezanne, Harrison Matthews, Sarah French",2015,101 min,"Comedy, Horror, Sci-Fi"
Omega Cop,Paul Kyriazi,"Ronald L. Marchini, Adam West, Meg Thayer, Jennifer Jostyn",1990,87 min,"Action, Sci-Fi"
Lurid Tales: The Castle Queen,David DeCoteau,"Shannon Dow Smith, Kim Sill, Cristi Harris, Betsy Lynn George",1998,76 min,"Drama, Fantasy, Sci-Fi"
Letters from the Big Man,Christopher Munch,"Lily Rabe, Jason Butler Harner, Isaac C. Singleton Jr., Jim Cody Williams",2011,104 min,"Drama, Sci-Fi"
Dragon Day,Jeffrey Travis,"Ethan Flower, Osa Wallander, Jenn Gotzon Chandler, Eloy Méndez",2013,95 min,"Drama, Sci-Fi, Thriller"
I Am Toxic,"Daniel de la Vega, Pablo Parés","Fini Bocchino, Gastón Cocchiarale, Horacio Fontova, Sergio Podelei",2018,76 min,"Action, Horror, Sci-Fi"
The Half Dead,Timothy Boyle,"Tasma Walton, John Rhys-Davies, Steve Bastoni, Jay Laga'aia",,123 min,Sci-Fi
Kill Mode,Thijs Meuwese,"Dave Mantel, Julia Batelaan, Yasmin Blake, Cyriel Guds",,,"Action, Sci-Fi"
Those Fantastic Flying Fools,Don Sharp,"Burl Ives, Jimmy Clitheroe, Terry-Thomas, Graham Stark",1967,95 min,"Adventure, Comedy, Fantasy"
"Ga, Ga - Chwala bohaterom",Piotr Szulkin,"Daniel Olbrychski, Jerzy Stuhr, Katarzyna Figura, Mariusz Benoit",1986,84 min,"Comedy, Horror, Sci-Fi"
Digimon Adventure Tri. 2: Decision,Keitarô Motonaga,"Miho Arakawa, John Eric Bentley, Johnny Yong Bosch, Robbie Daymond",2016,84 min,"Animation, Action, Adventure"
